Protein accession number	Protein Name	location		
YNL016W	"PUB1 (RNP1) Poly(A)+ RNA-binding protein, abundant mRNP-component protein hypothesized to bind a pool of non-translatable mRNAs; not reported to associate with polyribosomes"	nuclear		
YDR496C	"PUF6  Pumilio-homology domain protein that binds ASH1 mRNA at PUF consensus sequences in the 3' UTR and represses its translation, resulting in proper asymmetric localization of ASH1 mRNA"	nuclear		
YPL212C	"PUS1  tRNA:pseudouridine synthase, introduces pseudouridines at positions 26-28, 34-36, 65, and 67 of tRNA; nuclear protein that appears to be involved in tRNA export; also acts on U2 snRNA"	nuclear		
YNL292W	"PUS4  Pseudouridine synthase, catalyzes only the formation of pseudouridine-55 (Psi55), a highly conserved tRNA modification, in mitochondrial and cytoplasmic tRNAs; PUS4 overexpression leads to translational derepression of GCN4 (Gcd- phenotype)"	nuclear		
YOR243C	"PUS7  Pseudouridine synthase, catalyzes pseudouridylation at position 35 in U2 snRNA, position 13 in cytoplasmic tRNAs, and position 35 in pre-tRNA(Tyr); Asp(256) mutation abolishes activity; conserved in archaea, some bacteria, and vertebrates"	nuclear		
YLR196W	PWP1  Protein with WD-40 repeats involved in rRNA processing; associates with trans-acting ribosome biogenesis factors; similar to beta-transducin superfamily	nuclear		
YCR057C	"PWP2 (UTP1,YCR058C,YCR055C) Conserved 90S pre-ribosomal component essential for proper endonucleolytic cleavage of the 35 S rRNA precursor at A0, A1, and A2 sites; contains eight WD-repeats; PWP2 deletion leads to defects in cell cycle and bud morphogenesis"	nuclear		
YGR280C	"PXR1 (GNO1,PINX1) Essential protein involved in rRNA and snoRNA maturation; competes with TLC1 RNA for binding to Est2p, suggesting a role in regulation of telomerase; human homolog inhibits telomerase; contains a G-patch RNA interacting domain"	nuclear		
YPR186C	"PZF1 (TFC2) Transcription factor IIIA (TFIIIA), essential protein with nine C2H2 Zn-fingers, binds the 5S rRNA gene through the zinc finger domain and directs assembly of a multiprotein initiation complex for RNA polymerase III; also binds DNA"	nuclear		
YPL022W	"RAD1 (LPB9) Single-stranded DNA endonuclease (with Rad10p), cleaves single-stranded DNA during nucleotide excision repair and double-strand break repair; subunit of Nucleotide Excision Repair Factor 1 (NEF1); homolog of human XPF protein"	nuclear		
YML095C	"RAD10  Single-stranded DNA endonuclease (with Rad1p), cleaves single-stranded DNA during nucleotide excision repair and double-strand break repair; subunit of Nucleotide Excision Repair Factor 1 (NEF1); homolog of human ERCC1 protein"	nuclear		
YEL037C	"RAD23  Protein with ubiquitin-like N terminus, recognizes and binds damaged DNA (with Rad4p) during nucleotide excision repair; regulates Rad4p levels, subunit of Nuclear Excision Repair Factor 2 (NEF2); homolog of human HR23A and HR23B proteins"	nuclear		
YKL113C	"RAD27 (RTH1,ERC11) 5' to 3' exonuclease, 5' flap endonuclease, required for Okazaki fragment processing and maturation as well as for long-patch base-excision repair; member of the S. pombe RAD2/FEN1 family"	nuclear		
YER171W	"RAD3 (REM1) 5' to 3' DNA helicase, involved in nucleotide excision repair and transcription; subunit of RNA polymerase II transcription initiation factor TFIIH; subunit of Nucleotide Excision Repair Factor 3 (NEF3); homolog of human XPD protein"	nuclear		
YNL250W	"RAD50  Subunit of MRX complex, with Mre11p and Xrs2p, involved in processing double-strand DNA breaks in vegetative cells, initiation of meiotic DSBs, telomere maintenance, and nonhomologous end joining"	nuclear		
YER095W	"RAD51 (MUT5) Strand exchange protein, forms a helical filament with DNA that searches for homology; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; homolog of Dmc1p and bacterial RecA protein"	nuclear		
YML032C	RAD52  Protein that stimulates strand exchange by facilitating Rad51p binding to single-stranded DNA; anneals complementary single-stranded DNA; involved in the repair of double-strand breaks in DNA during vegetative growth and meiosis	nuclear		
YJR052W	RAD7  Protein that recognizes and binds damaged DNA in an ATP-dependent manner (with Rad16p) during nucleotide excision repair; subunit of Nucleotide Excision Repair Factor 4 (NEF4)	nuclear		
YGL246C	"RAI1  Nuclear protein that binds to and stabilizes the exoribonuclease Rat1p, required for pre-rRNA processing"	nuclear		
YNL216W	"RAP1 (TUF1,TBA1,GRF1) DNA-binding protein involved in either activation or repression of transcription, depending on binding site context; also binds telomere sequences and plays a role in telomeric position effect (silencing) and telomere structure"	nuclear		
YOR048C	"RAT1 (XRN2,TAP1,HKE1) Nuclear 5' to 3' single-stranded RNA exonuclease, involved in RNA metabolism, including rRNA and snRNA processing as well as mRNA transcription termination"	nuclear		
YOL010W	"RCL1  RNA terminal phosphate cyclase-like protein involved in rRNA processing at sites A0, A1, and A2; does not possess detectable RNA cyclase activity"	nuclear		
YBR049C	REB1 (GRF2) RNA polymerase I enhancer binding protein; DNA binding protein which binds to genes transcribed by both RNA polymerase I and RNA polymerase II; required for termination of RNA polymerase I transcription	nuclear		
YDR195W	"REF2  RNA-binding protein involved in the cleavage step of mRNA 3'-end formation prior to polyadenylation, and in snoRNA maturation; part of holo-CPF subcomplex APT, which associates with 3'-ends of snoRNA- and mRNA-encoding genes"	nuclear		
YOR207C	"RET1 (C128,RPC128,RPC2,PDS2) Second-largest subunit of RNA polymerase III, which is responsible for the transcription of tRNA and 5S RNA genes, and other low molecular weight RNAs"	nuclear		
YOL080C	REX4  Putative RNA exonuclease possibly involved in pre-rRNA processing and ribosome assembly	nuclear		
YAR007C	"RFA1 (RPA1,FUN3,BUF2) Subunit of heterotrimeric Replication Factor A (RF-A), which is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination"	nuclear		
YJL173C	"RFA3  Subunit of heterotrimeric Replication Factor A (RF-A), which is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination"	nuclear		
YNL290W	"RFC3  Subunit of heteropentameric Replication factor C (RF-C), which is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity factor for DNA polymerases delta and epsilon"	nuclear		
YIL053W	"RHR2 (GPP1) Constitutively expressed isoform of DL-glycerol-3-phosphatase; involved in glycerol biosynthesis, induced in response to both anaerobic and, along with the Hor2p/Gpp2p isoform, osmotic stress"	nuclear		
YBL033C	RIB1  GTP cyclohydrolase II; catalyzes the first step of the riboflavin biosynthesis pathway	nuclear		
YBR275C	RIF1  Protein that binds to the Rap1p C-terminus and acts synergistically with Rif2p to help control telomere length and establish telomeric silencing; deletion results in telomere elongation	nuclear		
YFL033C	"RIM15 (TAK1) Glucose-repressible protein kinase involved in signal transduction during cell proliferation in response to nutrients, specifically the establishment of stationary phase; originally identified as a regulator of IME2"	nuclear		
YNL207W	RIO2  Essential serine kinase involved in the processing of the 20S pre-rRNA into mature 18S rRNA; has similarity to Rio1p	nuclear		
YHR197W	RIX1 (IPI2) Essential protein involved in the processing of the ITS2 region of the rRNA locus; required for the maturation and nuclear export of the 60S ribosomal subunit	nuclear		
YLL034C	"RIX7  Putative ATPase of the AAA family, required for export of pre-ribosomal large subunits from the nucleus; distributed between the nucleolus, nucleoplasm, and nuclear periphery depending on growth conditions"	nuclear		
YDR091C	RLI1  Essential iron-sulfur protein required for ribosome biogenesis and translation initiation; facilitates binding of a multifactor complex (MFC) of translation initiation factors to the small ribosomal subunit; predicted ABC family ATPase	nuclear		
YLR009W	RLP24  Ribosomal Like Protein 24	nuclear		
YNL002C	RLP7 (RPL7) Nucleolar protein with similarity to large ribosomal subunit L7 proteins; constituent of 66S pre-ribosomal particles; plays an essential role in processing of precursors to the large ribosomal subunit RNAs	nuclear		
YNL139C	"RLR1 (LDB5,ZRG13,THO2) Subunit of the THO complex, which is required for efficient transcription elongation and involved in transcriptional elongation-associated recombination; required for LacZ RNA expression from certain plasmids"	nuclear		
YMR061W	RNA14  Cleavage and polyadenylation factor I (CF I) component involved in cleavage and polyadenylation of mRNA 3' ends; bridges interaction between Rna15p and Hrp1p in the CF I complex	nuclear		
YGL044C	RNA15  Cleavage and polyadenylation factor I (CF I) component involved in cleavage and polyadenylation of mRNA 3' ends; interacts with the A-rich polyadenylation signal in complex with Rna14p and Hrp1p	nuclear		
YDR279W	"RNH202 (Rnh2B) Ribonuclease H2 subunit, required for RNase H2 activity"	nuclear		
YLR154C	"RNH203 (Rnh2C) Ribonuclease H2 subunit, required for RNase H2 activity"	nuclear		
YGR276C	"RNH70 (REX1) 3' exoribonuclease, required for 5S and tRNA-Arg3 maturation"	nuclear		
YJL026W	"RNR2 (CRT6) Ribonucleotide-diphosphate reductase (RNR), small subunit; the RNR complex catalyzes the rate-limiting step in dNTP synthesis and is regulated by DNA replication and DNA damage checkpoint pathways via localization of the small subunits"	nuclear		
YGR180C	"RNR4 (CRT3) Ribonucleotide-diphosphate reductase (RNR), small subunit; the RNR complex catalyzes the rate-limiting step in dNTP synthesis and is regulated by DNA replication and DNA damage checkpoint pathways via localization of the small subunits"	nuclear		
YMR239C	RNT1  RNAase III; cleaves a stem-loop structure at the 3' end of U2 snRNA to ensure formation of the correct U2 3' end	nuclear		
YGL171W	ROK1  ATP-dependent RNA helicase of the DEAD box family; required for 18S rRNA synthesis	nuclear		
YJR063W	"RPA12 (A12.2,RRN4) RNA polymerase I subunit A12.2; contains two zinc binding domains, and the N terminal domain is responsible for anchoring to the RNA pol I complex"	nuclear		
YPR010C	"RPA135 (A135,SRP3,RRN2,RPA2) RNA polymerase I subunit A135"	nuclear		
YDR156W	RPA14 (A14) RNA polymerase I subunit A14	nuclear		
YOR341W	"RPA190 (A190,RRN1) RNA polymerase I subunit; largest subunit of RNA polymerase I"	nuclear		
YJL148W	RPA34 (A34.5) RNA polymerase I subunit A34.5	nuclear		
YOR340C	RPA43 (A43) RNA polymerase I subunit A43	nuclear		
YNL248C	RPA49 (A49) RNA polymerase I subunit A49	nuclear		
YOR210W	"RPB10 (ABC10-beta) RNA polymerase subunit ABC10-beta, common to RNA polymerases I, II, and III"	nuclear		
YOL005C	RPB11 (B12.5) RNA polymerase II subunit B12.5; part of central core; similar to Rpc19p and bacterial alpha subunit	nuclear		
YOR151C	"RPB2 (B150,SOH2,SIT2,RPO22,RPB150) RNA polymerase II second largest subunit B150, part of central core; similar to bacterial beta subunit"	nuclear		
YIL021W	"RPB3 (B44) RNA polymerase II third largest subunit B44, part of central core; similar to prokaryotic alpha subunit"	nuclear		
YJL140W	"RPB4 (B32,CTF15) RNA polymerase II subunit B32; forms two subunit dissociable complex with Rpb7p; dispensable under some environmental conditions; involved in export of mRNA to cytoplasm under stress conditions; involved in telomere maintenance"	nuclear		
YBR154C	"RPB5 (ABC27) RNA polymerase subunit ABC27, common to RNA polymerases I, II, and III; contacts DNA and affects transactivation"	nuclear		
YDR404C	RPB7 (B16) RNA polymerase II subunit B16; forms two subunit dissociable complex with Rpb4p	nuclear		
YOR224C	"RPB8 (ABC14.5) RNA polymerase subunit ABC14.5, common to RNA polymerases I, II, and III"	nuclear		
YGL070C	"RPB9 (B12.6,SSU73,SHI1) RNA polymerase II subunit B12.6; contacts DNA; mutations affect transcription start site; involved in telomere maintenance"	nuclear		
YHR143W-A	"RPC10 (ABC10-alpha,RPB12) RNA polymerase subunit, found in RNA polymerase complexes I, II, and III"	nuclear		
YDR045C	RPC11 (C11) RNA polymerase III subunit C11; mediates pol III RNA cleavage activity and is important for termination of transcription	nuclear		
YJL011C	"RPC17 (C17) RNA polymerase III subunit C17; physically interacts with C31, C11, and TFIIIB70; may be involved in the recruitment of pol III by the preinitiation complex"	nuclear		
YNL113W	"RPC19 (AC19) RNA polymerase subunit, common to RNA polymerases I and III"	nuclear		
YKL144C	"RPC25 (C25,YKL1) RNA polymerase III subunit C25"	nuclear		
YNL151C	"RPC31 (C31,RPC8,ACP2) RNA polymerase III subunit C31; contains HMG-like C-terminal domain"	nuclear		
YNR003C	RPC34 (C34) RNA polymerase III subunit C34; interacts with TFIIIB70 and is a key determinant in pol III recruitment by the preinitiation complex	nuclear		
YKR025W	RPC37 (C37) RNA polymerase III subunit C37	nuclear		
YPR110C	"RPC40 (AC40,RPC5) RNA polymerase subunit, common to RNA polymerase I and III"	nuclear		
